Time B=0.1;Num of Total Infected Nodes B=0.1;Num of Infected Nodes This Time B=0.1;Time B=0.2;Num of Total Infected Nodes B=0.2;Num of Infected Nodes This Time B=0.2;Time B=0.3;Num of Total Infected Nodes B=0.3;Num of Infected Nodes This Time B=0.3;Time B=0.4;Num of Total Infected Nodes B=0.4;Num of Infected Nodes This Time B=0.4;Time B=0.5;Num of Total Infected Nodes B=0.5;Num of Infected Nodes This Time B=0.5;Time B=0.6;Num of Total Infected Nodes B=0.6;Num of Infected Nodes This Time B=0.6;Time B=0.7;Num of Total Infected Nodes B=0.7;Num of Infected Nodes This Time B=0.7;Time B=0.8;Num of Total Infected Nodes B=0.8;Num of Infected Nodes This Time B=0.8;Time B=0.9;Num of Total Infected Nodes B=0.9;Num of Infected Nodes This Time B=0.9;Time B=1;Num of Total Infected Nodes B=1;Num of Infected Nodes This Time B=1; 
150;950806;4966;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;955296;4490;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;959399;4103;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;963008;3609;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;966375;3367;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;969519;3144;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;972429;2910;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;974921;2492;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;977292;2371;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;979433;2141;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;981384;1951;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;983133;1749;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;984737;1604;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;986180;1443;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;987503;1323;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;988637;1134;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;989786;1149;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;990737;951;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;991632;895;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;992458;826;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;993184;726;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;993847;663;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;994430;583;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;995000;570;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;995504;504;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;995959;455;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;996340;381;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;996684;344;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;997002;318;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;997308;306;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;997557;249;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;997804;247;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;998025;221;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;998223;198;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;998422;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;998609;187;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;998764;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;998885;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;999001;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;999127;126;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;999234;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;999330;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;999409;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;999483;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;999552;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;999616;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;999654;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;999710;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;999746;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;999797;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;999828;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;999865;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;999895;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;999932;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;999959;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;999976;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;999991;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;1000000;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
